metabolite_name,kegg_compound_id,mapping_note
C14:0 LPC,,lipid species class (carbon:double-bond); not a single KEGG compound
C16:1 LPC,,lipid species class (carbon:double-bond); not a single KEGG compound
C16:0 LPC,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:2 LPC,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:1 LPC,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:0 LPC,,lipid species class (carbon:double-bond); not a single KEGG compound
C20:4 LPC,,lipid species class (carbon:double-bond); not a single KEGG compound
C20:3 LPC,,lipid species class (carbon:double-bond); not a single KEGG compound
C22:6 LPC,,lipid species class (carbon:double-bond); not a single KEGG compound
C16:0 LPE,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:1 LPE,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:0 LPE,,lipid species class (carbon:double-bond); not a single KEGG compound
C20:4 LPE,,lipid species class (carbon:double-bond); not a single KEGG compound
C22:6 LPE,,lipid species class (carbon:double-bond); not a single KEGG compound
C32:2 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C32:1 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C32:0 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C34:4 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C34:3 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C34:2 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C34:1 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C36:4 PC-A,,lipid species class (carbon:double-bond); not a single KEGG compound
C36:4 PC-B,,lipid species class (carbon:double-bond); not a single KEGG compound
C36:3 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C36:2 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C36:1 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C38:6 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C38:5 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C38:4 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C38:2 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C40:6 PC,,lipid species class (carbon:double-bond); not a single KEGG compound
C14:0 SM,,lipid species class (carbon:double-bond); not a single KEGG compound
C16:1 SM,,lipid species class (carbon:double-bond); not a single KEGG compound
C16:0 SM,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:2 SM,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:1 SM,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:0 SM,,lipid species class (carbon:double-bond); not a single KEGG compound
C22:1 SM,,lipid species class (carbon:double-bond); not a single KEGG compound
C22:0 SM,,lipid species class (carbon:double-bond); not a single KEGG compound
C24:1 SM,,lipid species class (carbon:double-bond); not a single KEGG compound
C24:0 SM,,lipid species class (carbon:double-bond); not a single KEGG compound
C34:2 DAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C34:1 DAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C36:2 DAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C36:1 DAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C14:0 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C16:1 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C16:0 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:3 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:2 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:1 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C18:0 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C20:5 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C20:4 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C20:3 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C22:6 CE,,lipid species class (carbon:double-bond); not a single KEGG compound
C46:2 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C46:1 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C46:0 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C48:3 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C48:2 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C48:1 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C48:0 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C50:3 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C50:2 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C50:1 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C50:0 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C52:5 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C52:4 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C52:3 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C52:2 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C52:1 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C54:7 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C54:6 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C54:5 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C54:4 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C54:3 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C54:2 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C54:1 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C56:8 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C56:7 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C56:6 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C56:5 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C56:4 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C56:3 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C56:2 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C58:8 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C58:7 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
C58:6 TAG,,lipid species class (carbon:double-bond); not a single KEGG compound
DHAP/glyceraldehyde 3P,,co-eluting mixture (unresolvable isomers)
F1P/F6P/G1P/G6P,,co-eluting mixture (hexose phosphates)
fumarate/maleate/alpha-ketoisovalerate,,co-eluting mixture (multiple metabolites)
ribose-5-P/ribulose5-P,,co-eluting mixture (pentose phosphates)
succinate/methylmalonate,,co-eluting mixture; succinate (TCA cycle member) lost to chromatographic overlap
UDP-galactose/UDP-glucose,,co-eluting mixture (UDP sugars)
glycodeoxycholate/glycochenodeoxycholate,,co-eluting mixture (bile acids)
taurodeoxycholate/taurochenodeoxycholate,,co-eluting mixture (bile acids)
3-methyladipate/pimelate,,co-eluting mixture (dicarboxylates)
cis/trans-hydroxyproline,C01157,stereoisomers unresolved
butyrylcarnitine/isobutyrylcarnitine,,co-eluting isomeric acylcarnitines
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,,co-eluting isomeric acylcarnitines
hexoses (HILIC neg),,class-level metabolite (assay-defined hexose pool)
hexoses (HILIC pos),,class-level metabolite (assay-defined hexose pool)
2-aminoadipate,C00956,
3-phosphoglycerate,C00197,
alpha-glycerophosphate,C00093,sn-glycerol 3-phosphate
