symbol,entrez,uniprot_accession
A1BG,1,P04217
A2M,2,P01023
SERPINA3,12,P01011
AADAC,13,P22760
ABAT,18,P80404
ABCA1,19,O95477
ABCA2,20,Q9BZC7
ABCA3,21,Q99758
AOC1,26,P19801
ABO,28,P16442
ABR,29,Q12979
ASIC1,41,P78348
ACP5,54,P13686
ACP3,55,P15309
ACTA2,59,P62736
ACTC1,70,P68032
ACTG2,72,P63267
ACTN1,87,P12814
ACVR1,90,Q04771
ADA,100,P00813
ADAM8,101,P78325
ADARB1,104,P78563
ADCY1,107,Q08828
ADCY6,112,O43306
ADCY7,113,P51828
ADCY9,115,O60503
ADCYAP1,116,P18509
ADD2,119,P35612
ADD3,120,Q9UEY8
PLIN2,123,Q99541
ADH1C,126,P00326
ADM,133,P35318
ADORA1,134,P30542
ADORA2A,135,P29274
ADORA2B,136,P29275
ADPRH,141,P54922
ADRA2C,152,P18825
ADRB2,154,P07550
GRK3,157,P35626
AEBP1,165,Q8IUX7
AFP,174,P02771
JAG1,182,P78504
AGT,183,P01019
NR0B1,190,P51843
AHR,196,P35869
AIF1,199,P55008
CRYBG1,202,Q9Y4K1
AK1,203,P00568
AK4,205,P27144
ALB,213,P02768
ALCAM,214,Q13740
ABCD1,215,P33897
ALDH1A1,216,P00352
ALDH2,217,P05091
ALDH3A1,218,P30838
ALDH1A3,220,P47895
ALDH3B1,221,P43353
ALDH3B2,222,P48448
ALDH3A2,224,P51648
ALDOC,230,P09972
AKR1B1,231,P15121
ALOX5,240,P09917
ALOX5AP,241,P20292
ALPL,249,P05186
ALPP,250,P05187
ALPG,251,P10696
AMBP,259,P02760
AMH,268,P03971
AMPD3,272,Q01432
AMPH,273,P49418
BIN1,274,O00499
AMY2B,280,P19961
ANG,283,P03950
ANGPT1,284,Q15389
ANK1,286,P16157
ANK2,287,Q01484
ANK3,288,Q12955
ANPEP,290,P15144
SLC25A4,291,P12235
ANXA1,301,P04083
ANXA2,302,P07355
ANXA3,306,P12429
ANXA4,307,P09525
ANXA5,308,P08758
ANXA6,309,P08133
ANXA13,312,P27216
AOAH,313,P28039
AOX1,316,Q06278
APBA2,321,Q99767
APBB1,322,O00213
APBB2,323,Q92870
BIRC3,330,Q13489
APLP1,333,P51693
APLP2,334,Q06481
APOA1,335,P02647
APOA2,336,P02652
APOC1,341,P02654
APOC2,344,P02655
APOD,347,P05090
APOE,348,P02649
APP,351,P05067
FAS,355,P25445
SHROOM2,357,Q13796
AQP1,358,P29972
AQP3,360,Q92482
AQP5,362,P55064
AR,367,P10275
ABCC6,368,O95255
AREG,374,P15514
ARL4D,379,P49703
ARG2,384,P78540
RHOB,388,P62745
RHOC,389,P08134
RND3,390,P61587
ARHGAP4,393,P98171
ARHGAP5,394,Q13017
ARHGDIB,397,P52566
ARHGDIG,398,Q99819
RHOH,399,Q15669
PHOX2A,401,O14813
ARRB1,408,P49407
STS,412,P08842
ARSD,414,P51689
ARSL,415,P51690
ARVCF,421,O00192
ASCL1,429,P50553
ASCL2,430,Q99929
ASNS,440,P08243
ASPH,444,Q12797
ASS1,445,P00966
ATF3,467,P18847
ATP1A3,478,P13637
ATP1B1,481,P05026
FXYD2,486,P54710
ATP2A3,489,Q93084
ATP2B4,493,P23634
ALDH7A1,501,P49419
ATP6V1B1,525,P15313
ATP6V1G2,534,O95670
ATP7B,540,P35670
KIF1A,547,Q12756
AXL,558,P30530
AZGP1,563,P25311
AZU1,566,P20160
B2M,567,P61769
ADGRB1,575,O14514
ADGRB2,576,O60241
BCAT1,586,P54687
BCHE,590,P06276
CCND1,595,P24385
BCL2,596,P10415
BCL2A1,597,Q16548
BCL3,602,P20749
BCL6,604,P41182
BCL7A,605,Q4VC05
TNFRSF17,608,Q02223
HCN2,610,Q9UL51
BDH1,622,Q02338
BDKRB1,623,P46663
BDKRB2,624,P30411
BDNF,627,P23560
CFB,629,P00751
BGN,633,P21810
CEACAM1,634,P13688
BIK,638,Q13323
PRDM1,639,O75626
BLK,640,P51451
BLMH,642,Q13867
BLVRA,644,P53004
BLVRB,645,P30043
BNC1,646,Q01954
BMP1,649,P13497
BMP2,650,P12643
BMP4,652,P12644
BMP6,654,P22004
BMP7,655,P18075
BMP8B,656,P34820
BNIP3,664,Q12983
BOK,666,Q9UMX3
DST,667,Q03001
ZFP36L1,677,Q07352
ZFP36L2,678,P47974
BST1,683,Q10588
BST2,684,Q10589
BTC,685,P35070
KLF9,687,Q13886
KLF5,688,Q13887
BTK,695,Q06187
TSPO,706,P30536
SERPING1,710,P05155
C1R,715,P00736
C1S,716,P09871
C2,717,P06681
C3,718,P01024
C4A,720,P0C0L4
C4BPB,725,P20851
CAPN5,726,O15484
MPPED2,744,Q15777
MYRF,745,Q9Y2G1
FMNL1,752,O95466
LDLRAD4,753,O15165
CA1,759,P00915
CA2,760,P00918
CA8,767,P35219
CA9,768,Q16790
CA11,770,O75493
CA12,771,O43570
CACNA1A,773,O00555
CACNA1C,775,Q13936
CACNA1D,776,Q01668
DDR1,780,Q08345
CACNA2D1,781,P54289
CALB1,793,P05937
CALB2,794,P22676
CALCB,797,P10092
CALD1,800,Q05682
CALML3,810,P27482
CALU,813,O43852
CAMK4,814,Q16566
CAMK2B,816,Q13554
CAMK2D,817,Q13557
CAPG,822,P40121
CAPN2,824,P17655
CAPN3,825,P20807
CAPS,828,Q13938
CAST,831,P20810
CASP1,834,P29466
CASP4,837,P49662
CASP8,841,Q14790
CASP10,843,Q92851
CAV1,857,Q03135
CAV2,858,P51636
RUNX2,860,Q13950
RUNX1,861,Q01196
RUNX1T1,862,Q06455
CBFA2T3,863,O75081
RUNX3,864,Q13761
CBLN1,869,P23435
SERPINH1,871,P50454
CBR1,873,P16152
CBR3,874,O75828
CBS,875,P35520
CCND2,894,P30279
CCND3,896,P30281
CD3D,915,P04234
CD3E,916,P07766
CD247,919,P20963
CD4,920,P01730
CD7,924,P09564
CD9,928,P21926
CD14,929,P08571
CD19,930,P15391
MS4A1,931,P11836
MS4A3,932,Q96HJ5
CD22,933,P20273
CD27,939,P26842
CD86,942,P42081
TNFRSF8,943,P28908
CD33,945,P20138
CD34,947,P28906
CD36,948,P16671
SCARB1,949,Q8WTV0
SCARB2,950,Q14108
CD37,951,P11049
CD38,952,P28907
ENTPD2,954,Q9Y5L3
CD40,958,P25942
CD44,960,P16070
CD47,961,Q08722
CD48,962,P09326
CD53,963,P19397
CD59,966,P13987
CD63,967,P08962
CD68,968,P34810
CD69,969,Q07108
CD70,970,P32970
CD72,971,P21854
CD74,972,P04233
CD79A,973,P11912
CD79B,974,P40259
CD81,975,P60033
ADGRE5,976,P48960
CD151,977,P48509
CDA,978,P32320
CDH1,999,P12830
CDH2,1000,P19022
CDH3,1001,P22223
CDH6,1004,P55285
CDH8,1006,P55286
CDH11,1009,P55287
CDH13,1012,P55290
CDH17,1015,Q12864
CDH18,1016,Q13634
CDK6,1021,Q00534
CDKN1A,1026,P38936
CDKN1C,1028,P49918
CDKN2B,1030,P42772
CDKN2C,1031,P42773
CDS1,1040,Q92903
CD52,1043,P31358
CDX1,1044,P47902
CDX2,1045,Q99626
CLGN,1047,O14967
CEACAM5,1048,P06731
CEBPA,1050,P49715
CEBPB,1051,P17676
CEBPD,1052,P49716
CES1,1066,P23141
CFL2,1073,Q9Y281
CTSC,1075,P53634
CFTR,1080,P13569
CGA,1081,P01215
FOXN3,1112,O00409
CHGA,1113,P10645
CHGB,1114,P05060
CHI3L1,1116,P36222
CHI3L2,1117,Q15782
CHN1,1123,P15882
CHN2,1124,P52757
LYST,1130,Q99698
CHRNA3,1136,P32297
CHRNA5,1138,P30532
CHRNA7,1139,P36544
CHRNB1,1140,P11230
CHRNB2,1141,P17787
CKB,1152,P12277
CISH,1154,Q9NSE2
CKMT1B,1159,P12532
CLU,1191,P10909
CLIC2,1193,O15247
CCR7,1236,P32248
ABCC2,1244,Q92887
CNN1,1264,P51911
CNN2,1265,Q99439
CNN3,1266,Q15417
CNR1,1268,P21554
CNTFR,1271,P26992
CNTN1,1272,Q12860
COL1A1,1277,P02452
COL1A2,1278,P08123
COL2A1,1280,P02458
COL3A1,1281,P02461
COL4A1,1282,P02462
COL4A2,1284,P08572
COL4A5,1287,P29400
COL4A6,1288,Q14031
COL5A1,1289,P20908
COL5A2,1290,P05997
COL6A1,1291,P12109
COL6A2,1292,P12110
COL6A3,1293,P12111
COL7A1,1294,Q02388
COL8A1,1295,P27658
COL9A2,1298,Q14055
COL9A3,1299,Q14050
COL11A1,1301,P12107
COL12A1,1303,Q99715
COL13A1,1305,Q5TAT6
COL15A1,1306,P39059
COL16A1,1307,Q07092
COL17A1,1308,Q9UMD9
KLF6,1316,Q99612
SLC31A2,1318,O15432
MAP3K8,1326,P41279
COX7A1,1346,P24310
CP,1356,P00450
CPE,1363,P16870
CLDN4,1364,O14493
CLDN3,1365,O15551
CLDN7,1366,O95471
CPM,1368,P14384
CPS1,1373,P31327
CPT1A,1374,P50416
CPT1B,1375,Q92523
CRABP1,1381,P29762
CRABP2,1382,P29373
CRAT,1384,P43155
CRIP1,1396,P50238
CRIP2,1397,P52943
CRMP1,1400,Q14194
HAPLN1,1404,P10915
CRYAB,1410,P02511
CRYM,1428,Q14894
CSF1,1435,P09603
CSF1R,1436,P07333
CSF2,1437,P04141
CSF2RA,1438,P15509
CSF2RB,1439,P32927
CSF3,1440,P09919
CSF3R,1441,Q99062
VCAN,1462,P13611
CSPG4,1464,Q6UVK1
CSRP1,1465,P21291
CSRP2,1466,Q16527
CST1,1469,P01037
CST3,1471,P01034
CST6,1474,Q15828
CSTA,1475,P01040
NKX2-5,1482,P52952
CTAG1B,1485,P78358
CTBP2,1488,P56545
CCN2,1490,P29279
CTH,1491,P32929
CTNNA1,1495,P35221
CTNND1,1500,O60716
CTNND2,1501,Q9UQB3
CTSB,1508,P07858
CTSD,1509,P07339
CTSE,1510,P14091
CTSG,1511,P08311
CTSH,1512,P09668
CTSK,1513,P43235
CTSL,1514,P07711
CTSV,1515,O60911
CTSO,1519,P43234
CTSS,1520,P25774
CTSZ,1522,Q9UBR2
CXADR,1525,P78310
CYB5A,1528,P00167
CYB561,1534,P49447
CYBA,1535,P13498
CYBB,1536,P04839
CYP1A1,1543,P04798
CYP1B1,1545,Q16678
CYP2J2,1573,P51589
CYP3A5,1577,P20815
CYP24A1,1591,Q07973
CYP27A1,1593,Q02318
DAB2,1601,P98082
DACH1,1602,Q9UI36
CD55,1604,P08174
DAG1,1605,Q14118
DGKA,1606,P23743
DGKG,1608,P49619
DAPK1,1612,P53355
DBN1,1627,Q16643
DCN,1634,P07585
ACE,1636,P12821
DCT,1638,P40126
DDC,1644,P20711
AKR1C1,1645,Q04828
AKR1C2,1646,P52895
GADD45A,1647,P24522
DEFB1,1672,P60022
CFD,1675,P00746
GSDME,1687,O60443
COCH,1690,O43405
DHCR7,1717,Q9UBM7
DHCR24,1718,Q15392
NQO1,1728,P15559
SEPTIN1,1731,Q8WYJ6
DIO2,1734,Q92813
DLG3,1741,Q92796
DLG4,1742,P78352
DLX1,1745,P56177
DLX2,1746,Q07687
DLX3,1747,O60479
DLX5,1749,P56178
DLX6,1750,P56179
DMBT1,1755,Q9UGM3
DMD,1756,P11532
DNM1,1759,Q05193
DMPK,1760,Q09013
DYNC1I1,1780,O14576
DNMT3A,1788,Q9Y6K1
DNTT,1791,P04053
DOCK1,1793,Q14185
DOCK2,1794,Q92608
DOK1,1796,Q99704
DPEP1,1800,P16444
DPP4,1803,P27487
DPYD,1806,Q12882
DPYSL2,1808,Q16555
DPYSL3,1809,Q14195
DRD2,1813,P14416
ARID3A,1820,Q99856
DSC2,1824,Q02487
DSC3,1825,Q14574
RCAN1,1827,P53805
DSG2,1829,Q14126
DSG3,1830,P32926
TSC22D3,1831,Q99576
DSP,1832,P15924
SLC26A2,1836,P50443
DTNA,1837,Q9Y4J8
HBEGF,1839,Q99075
DTX1,1840,Q86Y01
DUSP1,1843,P28562
DUSP2,1844,Q05923
DUSP4,1846,Q13115
DUSP5,1847,Q16690
DUSP6,1848,Q16828
DUSP8,1850,Q13202
DUSP9,1852,Q99956
E2F2,1870,Q14209
E2F5,1875,Q15329
EBF1,1879,Q9UH73
GPR183,1880,P32249
ECE1,1889,P42892
TYMP,1890,P19971
ECM1,1893,Q16610
S1PR1,1901,P21453
LPAR1,1902,Q92633
S1PR3,1903,Q99500
EDN1,1906,P05305
EDN2,1907,P20800
EDNRB,1910,P24530
EEF1A2,1917,Q05639
EFNA1,1942,P20827
EFNA5,1946,P52803
EFNB1,1947,P98172
EFNB2,1948,P52799
EFNB3,1949,Q15768
EGF,1950,P01133
CELSR3,1951,Q9NYQ7
CELSR2,1952,Q9HCU4
MEGF6,1953,O75095
EGFR,1956,P00533
EGR1,1958,P18146
EHHADH,1962,Q08426
EPHA2,1969,P29317
ELANE,1991,P08246
SERPINB1,1992,P30740
ELAVL2,1993,Q12926
ELAVL3,1995,Q14576
ELAVL4,1996,P26378
ELF3,1999,P78545
ELK3,2004,P41970
ELN,2006,P15502
EML1,2009,O00423
EMP1,2012,P54849
EMP2,2013,P54851
EMP3,2014,P54852
CTTN,2017,Q14247
ENG,2022,P17813
ENO2,2026,P09104
ENO3,2027,P13929
EPAS1,2034,Q99814
EPB41,2035,P11171
EPB41L1,2036,Q9H4G0
EPB41L2,2037,O43491
DMTN,2039,Q08495
STOM,2040,P27105
EPHA1,2041,P21709
EPHA3,2042,P29320
EPHA4,2043,P54764
EPHA7,2045,Q15375
EPHB1,2047,P54762
EPHB2,2048,P29323
EPHB3,2049,P54753
EPHB4,2050,P54760
EPHB6,2051,O15197
EPHX1,2052,P07099
EPHX2,2053,P34913
EPS8,2059,Q12929
ERBB2,2064,P04626
ERBB3,2065,P21860
EREG,2069,O14944
EYA4,2070,O95677
ERG,2078,P11308
ETFB,2109,P38117
ETS1,2113,P14921
ETS2,2114,P15036
ETV1,2115,P50549
ETV4,2118,P43268
ETV5,2119,P41161
EVC,2121,P57679
MECOM,2122,Q03112
EVI2A,2123,P22794
EVI2B,2124,P34910
EVPL,2125,Q92817
EXT1,2131,Q16394
EYA1,2138,Q99502
EYA2,2139,O00167
F2R,2149,P25116
F2RL1,2150,P55085
F2RL2,2151,O00254
F3,2152,P13726
F12,2161,P00748
FAAH,2166,O00519
FABP4,2167,P15090
FABP1,2168,P07148
FABP3,2170,P05413
FABP5,2171,Q01469
FABP6,2172,P51161
FABP7,2173,O15540
ACSL1,2180,P33121
ACSL4,2182,O60488
FAH,2184,P16930
PTK2B,2185,Q14289
FAP,2191,Q12884
FBLN1,2192,P23142
FAT1,2195,Q14517
FAT2,2196,Q9NYQ8
FBLN2,2199,P98095
FBN1,2200,P35555
FBN2,2201,P35556
EFEMP1,2202,Q12805
FBP1,2203,P09467
FCER1G,2207,P30273
FCER2,2208,P06734
FCGR2A,2212,P12318
FCGR2B,2213,P31994
FCGRT,2217,P55899
GPC4,2239,O75487
FES,2242,P07332
FGA,2243,P02671
FGB,2244,P02675
FGD1,2245,P98174
FGF1,2246,P05230
FGF2,2247,P09038
FGF5,2250,P12034
FGF7,2252,P21781
FGF9,2254,P31371
FGF11,2256,Q92914
FGF12,2257,P61328
