rank,symbol,entrez,variance
1,KRT19,3880,15.547382558723472
2,SPARC,6678,15.450005909395623
3,RPS4Y1,6192,14.182954134218038
4,UCHL1,7345,13.771920233536681
5,VIM,7431,13.569825817786624
6,TGFBI,7045,13.023480966390467
7,KRT7,3855,12.881439538825031
8,EPCAM,4072,12.652330334348306
9,FN1,2335,12.643659495817774
10,KRT8,3856,12.625174755770969
11,AGR2,10551,12.508336041191312
12,C19orf33,64073,12.113177295329233
13,S100P,6286,11.925472848481737
14,CD74,972,11.791899073218183
15,S100A14,57402,11.407286467532327
16,TACSTD2,4070,11.33508827900986
17,FXYD3,5349,11.306031653621742
18,IGFBP3,3486,11.191311151456635
19,CLDN4,1364,11.188538563962712
20,MAL2,114569,11.171379548136779
21,KRT18,3875,11.101057525769296
22,CAV1,857,10.94589263082893
23,MT1E,4493,10.908299979448678
24,SPINT2,10653,10.87192059247668
25,SPP1,6696,10.854186686752191
26,SERPINE1,5054,10.632415798529987
27,GPX2,2877,10.603273122183602
28,SRGN,5552,10.597718085121434
29,IFI27,3429,10.496510939395575
30,SLPI,6590,10.494263383714092
31,LCN2,3934,10.417771617929525
32,TM4SF1,4071,10.406939068513548
33,CD24,100133941,10.406253348844615
34,NNMT,4837,10.382924412211642
35,KRT17,3872,10.33315978876401
36,ELF3,1999,10.312168549327444
37,S100A16,140576,10.097612892243202
38,RAB25,57111,10.082466058539291
39,S100A6,6277,9.912381995825298
40,FSTL1,11167,9.905878287543633
41,HLA-DRA,3122,9.875550932824064
42,COL1A2,1278,9.84565964243685
43,CDH1,999,9.829795570057701
44,THBS1,7057,9.77655775979392
45,LCP1,3936,9.758876618621123
46,EFEMP1,2202,9.704539142141524
47,CCN1,3491,9.676710703316552
48,ALDH1A1,216,9.605434923676254
49,CLDN7,1366,9.56202974247344
50,IGFBP7,3490,9.549431572868617
51,CDKN2A,1029,9.53534483068163
52,DKK1,22943,9.480185759018326
53,ANXA1,301,9.437240735763803
54,SFN,2810,9.433949939711262
55,TFPI2,7980,9.413354200179986
56,LGALS1,3956,9.40548020812227
57,IFITM1,8519,9.356170960681736
58,AKR1C2,1646,9.272856033048962
59,MGST1,4257,9.241607856043323
60,ARHGDIB,397,9.232692809833546
61,EMP1,2012,9.18627122321675
62,XAGE1A,653220,9.14775942694406
63,GPRC5A,9052,9.140508839051545
64,MAGEA3,4102,9.11615829634893
65,TINAGL1,64129,9.063288780436713
66,MMP2,4313,9.025413613538042
67,EEF1A2,1917,8.979522808862187
68,TGM2,7052,8.942840658803453
69,KRT5,3852,8.874155535029185
70,ALDH1A3,220,8.870294456534108
71,ST14,6768,8.861346366541904
72,COL1A1,1277,8.734240457124551
73,CD44,960,8.722165185599113
74,S100A4,6275,8.72156473643494
75,TIMP3,7078,8.700310168365407
76,BEX1,55859,8.664177299172444
77,BST2,684,8.618076613527377
78,THY1,7070,8.564148266390667
79,AKR1C3,8644,8.556886343657368
80,ANXA3,306,8.53145221577714
81,BASP1,10409,8.466367745107894
82,CAV2,858,8.452639243444265
83,PLAU,5328,8.437328792792638
84,IGFBP2,3485,8.411348146307212
85,CALD1,800,8.40684811384832
86,ADIRF,10974,8.393269333399795
87,S100A2,6273,8.354111999814737
88,GJA1,2697,8.325161613138038
89,GYPC,2995,8.306462297534575
90,CLDN1,9076,8.286705328094577
91,MYL9,10398,8.2842109508328
92,LOXL2,4017,8.269821366629081
93,F3,2152,8.257043532454757
94,CCN2,1490,8.179365369923488
95,AXL,558,8.150280804096424
96,DKK3,27122,8.12736805286144
97,COL6A2,1292,8.116673430204616
98,LAMC2,3918,8.116448968283315
99,GDF15,9518,8.105006450999117
100,DMKN,93099,8.101694299169475
101,IGFBP5,3488,8.094938765673442
102,C3,718,8.058693099861127
103,MAGEA6,4105,8.045316514135584
104,TSPAN8,7103,8.019055314045875
105,CAVIN1,284119,8.00859362220197
106,AKR1C1,1645,8.00756990022101
107,CLU,1191,7.9963159265667825
108,MMP14,4323,7.982875868016156
109,AREG,374,7.969624822673023
110,CRIP1,1396,7.968651160728169
111,MLPH,79083,7.9129622260498
112,SERPINE2,5270,7.907954843324135
113,COL4A2,1284,7.902370735813967
114,IL32,9235,7.898572272895085
115,RBP1,5947,7.890688223991331
116,LGALS3,3958,7.88528589365693
117,S100A9,6280,7.865275555002946
118,IFITM2,10581,7.8573053666530885
119,LAPTM5,7805,7.852836025705773
120,CXCL1,2919,7.8505712185455785
